Customer_ID,Income,Recency,Is_Parent,Age,Spent,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds
5524,58138,58,0,64,1617,635,88,546,172,88,88
2174,46344,38,1,67,27,11,1,6,2,1,6
4141,71613,26,0,56,776,426,49,127,111,21,42
6182,26646,26,1,37,53,11,4,20,10,3,5
5324,58293,94,1,40,422,173,43,118,46,27,15
7446,62513,16,1,54,716,520,42,98,0,42,14
965,55635,34,1,50,590,235,65,164,50,49,27
6177,33454,32,1,36,169,76,10,56,3,1,23
4855,30351,19,1,47,46,14,0,24,3,3,2
5899,5648,68,1,71,49,28,0,6,1,1,13
1994,NA,11,1,38,19,5,5,6,0,2,1
387,7500,59,0,45,61,6,16,11,11,1,16
2125,63033,82,0,62,1102,194,61,480,225,112,30
8180,59354,53,1,69,310,233,2,53,3,5,14
2569,17323,38,0,34,46,3,14,17,6,1,5
2114,82800,23,0,75,1315,1006,22,115,59,68,45
9736,41850,51,1,41,96,53,5,19,2,13,4
4939,37760,20,0,75,317,84,5,38,150,12,28
6565,76995,91,1,72,1782,1012,80,498,0,16,176
2278,33812,86,1,36,133,4,17,19,30,24,39
9360,37040,41,0,39,316,86,2,73,69,38,48
5376,2447,42,1,42,1730,1,1,1725,1,1,1
1993,58607,63,1,72,972,867,0,86,0,0,19
4047,65324,0,1,67,544,384,0,102,21,32,5
1409,40689,69,1,70,444,270,3,27,39,6,99
7892,18589,89,0,52,75,6,4,25,15,12,13
2404,53359,4,1,45,257,173,4,30,3,6,41
5255,NA,19,1,35,637,5,1,3,3,263,362
9422,38360,26,1,32,131,36,2,42,20,21,10
1966,84618,96,0,56,1672,684,100,801,21,66,0
6864,10979,34,0,32,30,8,4,10,2,2,4
3033,38620,56,0,58,318,112,17,44,34,22,89
5710,40548,31,1,51,120,110,0,5,2,0,3
7373,46610,8,1,69,302,96,12,96,33,22,43
8755,68657,4,0,75,1196,482,34,471,119,68,22
10738,49389,55,1,70,65,40,0,19,2,1,3
4339,67353,37,1,51,913,702,17,151,0,8,35
10755,23718,76,1,45,81,6,3,14,15,7,36
8595,42429,99,1,48,67,55,0,6,2,0,4
2968,48948,53,0,78,902,437,8,206,160,49,42
8601,80011,3,1,41,1395,421,76,536,82,178,102
503,20559,88,1,36,53,13,1,29,3,0,7
8430,21994,4,1,64,22,9,0,6,3,1,3
7281,NA,80,0,62,186,81,11,50,3,2,39
2139,7500,19,1,46,31,3,1,10,3,2,12
1371,79941,72,0,45,984,123,164,266,227,30,174
9909,7500,24,0,25,122,3,18,14,15,22,50
7286,41728,92,1,53,55,13,6,15,3,5,13
7244,NA,96,1,70,124,48,5,48,6,10,7
6566,72550,39,1,67,1319,826,50,317,50,38,38
8614,65486,29,1,64,507,245,19,125,37,67,14
4114,79143,2,0,57,1693,650,37,780,27,167,32
1331,35790,54,1,44,72,12,6,20,30,1,3
2225,82582,54,0,44,1617,510,120,550,156,40,241
9381,66373,57,1,43,606,328,9,124,12,24,109
6260,82384,55,0,66,1957,984,51,432,180,120,190
10383,70287,30,0,55,1093,295,35,482,121,120,40
7437,27938,31,1,33,29,13,0,8,2,1,5
8557,NA,57,1,39,46,11,3,22,2,2,6
8375,55954,63,1,53,518,447,0,28,0,0,43
6853,75777,12,0,39,1438,712,26,538,69,13,80
3076,66653,18,1,46,612,452,18,102,16,18,6
1012,61823,26,1,69,884,523,7,134,37,14,169
6518,67680,8,1,70,606,546,0,48,0,6,6
4137,70666,29,0,73,1076,398,40,367,119,122,30
8082,25721,75,1,50,34,1,3,6,3,6,15
1386,32474,0,1,54,11,10,0,1,0,0,0
9369,88194,19,1,42,1274,688,14,309,201,24,38
4477,69096,4,1,63,653,247,49,159,7,82,109
1357,74854,90,1,51,1562,856,59,487,58,29,73
1402,66991,1,0,67,1253,496,36,460,189,60,12
10629,NA,25,1,48,109,25,3,43,17,4,17
6312,65031,29,1,62,863,258,107,291,84,37,86
8132,60631,88,1,46,661,565,6,65,0,6,19
1050,28332,58,0,69,65,14,10,13,4,15,9
5846,40246,68,1,44,13,2,1,6,2,1,1
1859,75251,34,0,49,1890,721,111,925,97,18,18
7503,75825,40,0,45,2209,1032,105,779,137,105,51
10401,26326,12,0,45,18,1,0,5,0,3,9
1618,56046,9,0,56,692,577,0,64,0,0,51
3332,29760,87,1,36,165,64,4,68,7,5,17
2261,26304,5,1,52,16,4,1,5,2,0,4
5346,23559,87,1,48,79,25,5,19,7,0,23
4119,38620,56,0,58,318,112,17,44,34,22,89
535,81361,18,0,34,778,163,23,424,27,65,76
5268,29440,95,1,61,56,17,8,14,10,4,3
273,36138,48,1,51,151,130,0,16,0,0,5
4452,50388,3,1,64,372,292,6,37,0,3,34
8504,79593,70,0,48,1366,350,60,568,110,133,145
771,54178,79,1,54,194,135,9,39,4,0,7
8996,NA,4,1,64,603,230,42,192,49,37,53
9235,NA,45,1,64,18,7,0,8,2,0,1
5798,NA,87,0,48,985,445,37,359,98,28,18
11178,42394,69,1,49,32,15,2,10,0,1,4
2230,23626,84,1,51,43,27,2,14,0,0,0
7516,30096,30,1,38,45,5,3,11,12,5,9
7247,47916,72,1,61,606,505,0,26,0,0,75
11100,51813,37,1,49,63,51,2,7,0,1,2
4646,78497,44,0,70,978,207,26,447,75,0,223
3037,50150,32,0,38,410,135,46,92,65,61,11
1473,47823,0,1,61,72,53,1,5,2,1,10
1016,34554,43,1,62,55,41,1,6,2,0,5
4518,85693,59,1,42,1169,386,172,183,185,132,111
9370,65846,68,0,76,1120,562,81,276,80,40,81
8908,87195,35,0,62,1097,217,76,690,50,26,38
8373,24594,94,1,42,29,1,3,6,10,0,9
7533,49096,15,1,57,187,144,1,32,2,1,7
2683,52413,56,1,52,910,295,106,271,75,98,65
3629,38557,17,1,43,145,76,3,31,4,4,27
10991,89058,18,0,61,850,454,194,106,31,22,43
5077,77298,46,1,42,969,425,115,292,23,35,79
7431,68126,40,0,30,1820,1332,17,311,23,51,86
3267,57288,27,1,58,608,527,0,21,0,0,60
999,86037,95,0,30,730,490,44,125,29,20,22
9215,43974,19,1,41,551,378,0,101,0,0,72
2286,50785,27,1,59,114,64,1,21,0,1,27
1592,90765,25,0,51,1724,547,99,812,151,82,33
367,36550,74,1,43,577,47,90,94,123,103,120
5234,30753,85,1,54,81,12,5,25,0,9,30
9862,21918,37,1,52,33,1,6,7,11,5,3
9805,56129,65,1,68,660,320,48,133,39,72,48
6205,32557,13,1,54,80,34,3,29,0,4,10
8442,19510,63,1,36,30,9,0,7,3,4,7
7386,30992,83,1,45,43,17,0,14,7,3,2
7215,101970,69,0,38,1135,722,27,102,44,72,168
1491,71488,87,0,56,559,162,33,124,40,28,172
11071,79607,37,0,37,1923,450,133,951,173,0,216
3381,54348,51,1,68,90,70,0,16,0,0,4
8268,NA,23,1,60,404,352,0,27,10,0,15
11051,77376,72,1,65,661,492,19,110,16,12,12
8026,62998,10,1,69,463,120,58,73,65,89,58
433,61331,42,1,63,632,534,5,47,0,5,41
9597,73448,10,0,52,725,236,106,189,23,41,130
1295,NA,96,1,58,725,231,65,196,38,71,124
5290,41551,51,1,57,279,220,0,33,3,0,23
1685,62981,21,0,54,1482,796,14,590,38,44,0
5342,9548,31,1,45,29,0,1,3,10,6,9
9579,33762,61,1,62,106,53,1,34,2,0,16
7660,35860,37,1,48,49,15,0,8,4,2,20
1461,36921,74,1,56,38,17,1,12,3,1,4
821,92859,46,0,29,2077,962,61,921,52,61,20
11084,65104,4,1,45,1053,738,0,232,13,20,50
8690,86111,73,0,59,1385,399,28,756,36,40,126
2937,68352,47,1,47,871,614,16,132,43,33,33
9701,41883,13,1,33,312,32,34,41,73,16,116
9949,59809,36,1,45,877,598,16,141,32,41,49
10837,23957,47,1,46,68,2,1,18,20,11,16
3120,38547,49,1,40,22,6,1,10,0,1,4
5885,35688,94,1,48,211,73,3,90,12,1,32
4050,49605,65,0,55,127,42,16,29,12,20,8
3830,59354,59,1,68,459,295,21,78,39,13,13
7987,65747,96,1,52,460,346,17,48,23,13,13
7798,46344,28,1,49,429,233,20,57,8,20,91
92,34176,12,1,33,89,5,7,24,19,14,20
7055,61010,57,1,69,1021,888,0,57,0,0,76
10240,69372,10,0,72,1381,997,26,269,34,13,42
3025,49967,4,1,63,306,212,6,69,4,12,3
9283,60199,49,1,43,18,8,1,7,2,0,0
9970,55375,3,1,44,162,42,11,57,10,28,14
2730,80317,64,0,66,1231,536,11,387,149,91,57
2795,30523,0,1,63,13,5,0,3,0,0,5
9260,70356,20,0,76,1706,1349,16,249,43,16,33
8182,23228,91,1,37,121,53,3,49,7,4,5
10095,74165,9,0,46,1293,1001,12,240,16,12,12
8475,107243,98,1,48,1608,20,2,1582,1,2,1
4370,43482,83,1,55,88,18,1,32,6,3,28
10573,62551,27,0,68,421,125,16,98,134,21,27
3712,52332,63,0,62,259,212,5,33,7,0,2
6637,66951,46,0,33,1117,277,162,305,173,76,124
3152,26091,84,1,64,89,15,10,19,8,17,20
5610,33456,58,1,56,36,7,3,10,8,1,7
6460,28718,78,1,39,57,12,4,6,11,8,16
1349,50447,4,1,51,148,85,7,24,2,3,27
1880,53537,17,1,62,93,81,0,6,0,0,6
641,52074,77,1,54,119,59,0,12,0,0,48
8717,80427,56,1,46,1835,1149,71,449,69,71,26
10314,83837,79,0,73,1318,847,66,119,86,89,111
10854,38853,90,1,51,45,29,0,14,0,0,2
10492,38285,96,1,62,10,2,0,5,2,0,1
6935,78497,44,0,70,978,207,26,447,75,0,223
7698,51650,81,1,45,191,152,3,22,2,5,7
3559,16248,77,1,33,57,12,11,10,3,12,9
10562,66835,21,0,75,1033,620,26,195,34,17,141
10796,30477,16,1,37,66,47,1,6,0,0,12
2563,28249,80,0,60,43,1,9,7,2,14,10
3518,25271,45,1,38,50,10,1,18,10,4,7
5823,32303,63,1,51,39,35,0,2,0,0,2
3934,61286,34,1,55,608,356,0,107,19,9,117
6982,74068,14,0,45,1581,783,30,537,140,76,15
6431,45759,13,1,57,68,42,1,18,3,0,4
9733,24882,52,1,43,80,1,4,10,29,0,36
5602,66973,98,0,32,1282,466,22,432,147,113,102
1324,38872,93,1,33,91,23,3,21,3,19,22
326,51148,38,1,48,315,235,6,45,8,9,12
7224,31353,24,1,44,31,10,0,10,3,1,7
6999,69661,80,0,41,834,656,16,106,32,16,8
9938,80067,82,0,67,1600,519,17,813,27,173,51
6422,86718,20,0,67,1270,344,189,482,50,33,172
3182,46854,81,1,48,263,96,1,79,7,1,79
7300,69142,50,1,69,535,448,4,34,6,4,39
10424,75922,60,0,53,1295,265,138,553,224,23,92
8727,63693,63,1,43,1150,587,43,337,42,87,54
2798,102160,54,0,44,1240,763,29,138,76,176,58
1030,40637,72,1,56,38,22,0,13,0,0,3
624,18890,5,0,37,35,6,4,1,7,2,15
5176,29604,88,1,33,53,7,6,13,7,6,14
5552,48721,50,1,58,293,81,18,113,47,13,21
868,44794,99,1,55,65,54,0,7,0,0,4
380,64497,17,1,67,1804,1170,48,320,42,32,192
2677,46097,11,1,65,241,72,24,68,65,4,8
6521,77972,18,0,67,1101,613,22,319,33,102,12
6927,44377,70,1,53,264,224,0,30,0,0,10
2877,46014,21,1,47,541,410,0,59,19,9,44
0,70951,66,0,36,1198,239,10,554,254,87,54
1584,41443,79,1,44,482,171,7,171,25,19,89
7264,52195,2,1,43,17,12,0,4,0,0,1
6274,83790,81,0,73,1615,1076,16,417,42,48,16
1377,44551,24,1,67,285,182,4,33,0,0,66
454,69508,48,1,41,1135,824,32,162,42,32,43
1755,45204,93,1,33,114,30,11,25,29,1,18
2075,72460,56,0,52,1047,377,10,540,80,30,10
4785,77622,3,1,51,714,520,7,154,19,0,14
9076,30732,44,1,41,185,155,1,25,0,1,3
7079,63887,38,1,59,1245,897,23,207,15,11,92
