id_compra,item
JAK0211.58.20200808.0094,CIGARETTE
JAK0211.58.20200824.0079,CIGARETTE
JAK0211.58.20200906.0031,CIGARETTE
JAK0211.58.20200601.0020,CIGARETTE
JAK0211.58.20200601.0022,CIGARETTE
JAK0211.58.20200601.0024,CIGARETTE
JAK0211.58.20200601.0026,CIGARETTE
JAK0211.58.20200601.0029,CIGARETTE
JAK0211.58.20200601.0033,CIGARETTE
JAK0211.58.20200601.0036,CIGARETTE
JAK0211.58.20200601.0038,CIGARETTE
JAK0211.58.20200601.0042,CIGARETTE
JAK0211.58.20200601.0044,CIGARETTE
JAK0211.58.20200601.0278,CIGARETTE
JAK0211.58.20200601.0280,CIGARETTE
JAK0211.58.20200601.0282,CIGARETTE
JAK0211.58.20200601.0284,CIGARETTE
JAK0211.58.20200601.0286,CIGARETTE
JAK0211.58.20200601.0288,CIGARETTE
JAK0211.58.20200601.0290,CIGARETTE
JAK0211.58.20200601.0292,CIGARETTE
JAK0211.58.20200601.0294,CIGARETTE
JAK0211.58.20200601.0296,CIGARETTE
JAK0211.58.20200602.0400,CIGARETTE
JAK0211.58.20200604.0181,CIGARETTE
JAK0211.58.20200609.0190,CIGARETTE
JAK0211.58.20200612.0168,CIGARETTE
JAK0211.58.20200618.0262,CIGARETTE
JAK0211.58.20200619.0245,CIGARETTE
JAK0211.58.20200623.0262,CIGARETTE
JAK0211.58.20200623.0331,CIGARETTE
JAK0211.58.20200624.0231,CIGARETTE
JAK0211.58.20200625.0284,CIGARETTE
JAK0211.58.20200724.0122,CIGARETTE
JAK0211.58.20200725.0111,CIGARETTE
JAK0211.58.20200726.0106,CIGARETTE
JAK0211.58.20200727.0175,CIGARETTE
JAK0211.58.20200802.0155,CIGARETTE
JAK0211.58.20200814.0228,CIGARETTE
JAK0211.58.20200821.0227,CIGARETTE
JAK0211.58.20200825.0205,CIGARETTE
JAK0211.58.20200828.0266,CIGARETTE
JAK0211.58.20200829.0165,CIGARETTE
JAK0211.58.20200829.0183,CIGARETTE
JAK0211.58.20200830.0036,CIGARETTE
JAK0211.58.20200901.0118,CIGARETTE
JAK0211.58.20200902.0190,CIGARETTE
JAK0211.58.20200904.0145,CIGARETTE
JAK0211.58.20200904.0249,CIGARETTE
JAK0211.58.20200905.0208,CIGARETTE
JAK0211.58.20200906.0169,CIGARETTE
JAK0211.58.20200907.0187,CIGARETTE
JAK0211.58.20200909.0264,CIGARETTE
JAK0211.58.20200913.0015,CIGARETTE
JAK0211.58.20200917.0040,CIGARETTE
JAK0211.58.20200918.0036,CIGARETTE
JAK0211.58.20200920.0094,CIGARETTE
JAK0211.58.20200922.0130,CIGARETTE
JAK0211.58.20200925.0168,CIGARETTE
JAK0211.58.20200926.0124,CIGARETTE
JAK0211.58.20200929.0208,CIGARETTE
JAK0211.58.20200930.0042,CIGARETTE
JAK0211.58.20200601.0017,CIGARETTE
JAK0211.58.20200601.0249,CIGARETTE
JAK0211.58.20200601.0279,CIGARETTE
JAK0211.58.20200602.0045,CIGARETTE
JAK0211.58.20200602.0157,CIGARETTE
JAK0211.58.20200602.0399,CIGARETTE
JAK0211.58.20200603.0069,CIGARETTE
JAK0211.58.20200603.0131,CIGARETTE
JAK0211.58.20200603.0357,CIGARETTE
JAK0211.58.20200604.0079,CIGARETTE
JAK0211.58.20200604.0243,CIGARETTE
JAK0211.58.20200610.0061,CIGARETTE
JAK0211.58.20200610.0105,CIGARETTE
JAK0211.58.20200610.0153,CIGARETTE
JAK0211.58.20200610.0289,CIGARETTE
JAK0211.58.20200610.0317,CIGARETTE
JAK0211.58.20200610.0318,CIGARETTE
JAK0211.58.20200610.0322,CIGARETTE
JAK0211.58.20200610.0353,CIGARETTE
JAK0211.58.20200611.0018,CIGARETTE
JAK0211.58.20200611.0086,CIGARETTE
JAK0211.58.20200611.0133,CIGARETTE
JAK0211.58.20200612.0120,CIGARETTE
JAK0211.58.20200612.0121,CIGARETTE
JAK0211.58.20200612.0134,CIGARETTE
JAK0211.58.20200615.0117,CIGARETTE
JAK0211.58.20200615.0127,CIGARETTE
JAK0211.58.20200615.0281,CIGARETTE
JAK0211.58.20200616.0031,CIGARETTE
JAK0211.58.20200616.0123,CIGARETTE
JAK0211.58.20200617.0156,CIGARETTE
JAK0211.58.20200617.0191,CIGARETTE
JAK0211.58.20200617.0248,CIGARETTE
JAK0211.58.20200618.0165,CIGARETTE
JAK0211.58.20200618.0252,CIGARETTE
JAK0211.58.20200619.0106,CIGARETTE
JAK0211.58.20200619.0137,CIGARETTE
JAK0211.58.20200619.0149,CIGARETTE
JAK0211.58.20200619.0195,CIGARETTE
JAK0211.58.20200619.0197,CIGARETTE
JAK0211.58.20200619.0199,CIGARETTE
JAK0211.58.20200619.0203,CIGARETTE
JAK0211.58.20200619.0248,CIGARETTE
JAK0211.58.20200621.0059,CIGARETTE
JAK0211.58.20200622.0023,CIGARETTE
JAK0211.58.20200622.0160,CIGARETTE
JAK0211.58.20200622.0162,CIGARETTE
JAK0211.58.20200622.0165,CIGARETTE
JAK0211.58.20200622.0168,CIGARETTE
JAK0211.58.20200622.0169,CIGARETTE
JAK0211.58.20200622.0170,CIGARETTE
JAK0211.58.20200622.0172,CIGARETTE
JAK0211.58.20200622.0173,CIGARETTE
JAK0211.58.20200622.0178,CIGARETTE
JAK0211.58.20200622.0221,CIGARETTE
JAK0211.58.20200622.0222,CIGARETTE
JAK0211.58.20200622.0228,CIGARETTE
JAK0211.58.20200622.0230,CIGARETTE
JAK0211.58.20200622.0231,CIGARETTE
JAK0211.58.20200622.0258,CIGARETTE
JAK0211.58.20200622.0269,CIGARETTE
JAK0211.58.20200623.0033,CIGARETTE
JAK0211.58.20200623.0035,CIGARETTE
JAK0211.58.20200623.0038,CIGARETTE
JAK0211.58.20200623.0040,CIGARETTE
JAK0211.58.20200623.0071,CIGARETTE
JAK0211.58.20200623.0081,CIGARETTE
JAK0211.58.20200623.0084,CIGARETTE
JAK0211.58.20200623.0087,CIGARETTE
JAK0211.58.20200623.0092,CIGARETTE
JAK0211.58.20200623.0094,CIGARETTE
JAK0211.58.20200623.0096,CIGARETTE
JAK0211.58.20200623.0319,CIGARETTE
JAK0211.58.20200623.0320,CIGARETTE
JAK0211.58.20200624.0027,CIGARETTE
JAK0211.58.20200624.0088,CIGARETTE
JAK0211.58.20200624.0135,CIGARETTE
JAK0211.58.20200624.0242,CIGARETTE
JAK0211.58.20200625.0001,CIGARETTE
JAK0211.58.20200715.0029,CIGARETTE
JAK0211.58.20200716.0136,CIGARETTE
JAK0211.58.20200716.0243,CIGARETTE
JAK0211.58.20200717.0128,CIGARETTE
JAK0211.58.20200718.0001,CIGARETTE
JAK0211.58.20200718.0110,CIGARETTE
JAK0211.58.20200718.0144,CIGARETTE
JAK0211.58.20200719.0039,CIGARETTE
JAK0211.58.20200719.0077,CIGARETTE
JAK0211.58.20200719.0138,CIGARETTE
JAK0211.58.20200720.0080,CIGARETTE
JAK0211.58.20200720.0099,CIGARETTE
JAK0211.58.20200720.0100,CIGARETTE
JAK0211.58.20200720.0102,CIGARETTE
JAK0211.58.20200721.0121,CIGARETTE
JAK0211.58.20200721.0138,CIGARETTE
JAK0211.58.20200722.0023,CIGARETTE
JAK0211.58.20200722.0172,CIGARETTE
JAK0211.58.20200723.0025,CIGARETTE
JAK0211.58.20200723.0032,CIGARETTE
JAK0211.58.20200723.0195,CIGARETTE
JAK0211.58.20200723.0199,CIGARETTE
JAK0211.58.20200723.0238,CIGARETTE
JAK0211.58.20200724.0236,CIGARETTE
JAK0211.58.20200724.0252,CIGARETTE
JAK0211.58.20200726.0057,CIGARETTE
JAK0211.58.20200727.0100,CIGARETTE
JAK0211.58.20200728.0217,CIGARETTE
JAK0211.58.20200729.0103,CIGARETTE
JAK0211.58.20200729.0233,CIGARETTE
JAK0211.58.20200729.0252,CIGARETTE
JAK0211.58.20200730.0251,CIGARETTE
JAK0211.58.20200731.0071,CIGARETTE
JAK0211.58.20200801.0043,CIGARETTE
JAK0211.58.20200801.0045,CIGARETTE
JAK0211.58.20200801.0065,CIGARETTE
JAK0211.58.20200801.0122,CIGARETTE
JAK0211.58.20200801.0123,CIGARETTE
JAK0211.58.20200801.0124,CIGARETTE
JAK0211.58.20200801.0125,CIGARETTE
JAK0211.58.20200801.0131,CIGARETTE
JAK0211.58.20200801.0161,CIGARETTE
JAK0211.58.20200801.0178,CIGARETTE
JAK0211.58.20200802.0089,CIGARETTE
JAK0211.58.20200802.0090,CIGARETTE
JAK0211.58.20200802.0091,CIGARETTE
JAK0211.58.20200802.0092,CIGARETTE
JAK0211.58.20200802.0157,CIGARETTE
JAK0211.58.20200803.0170,CIGARETTE
JAK0211.58.20200803.0226,CIGARETTE
JAK0211.58.20200803.0227,CIGARETTE
JAK0211.58.20200803.0228,CIGARETTE
JAK0211.58.20200804.0030,CIGARETTE
JAK0211.58.20200804.0088,CIGARETTE
JAK0211.58.20200805.0016,CIGARETTE
JAK0211.58.20200805.0048,CIGARETTE
JAK0211.58.20200805.0061,CIGARETTE
JAK0211.58.20200806.0037,CIGARETTE
JAK0211.58.20200807.0087,CIGARETTE
JAK0211.58.20200808.0101,CIGARETTE
JAK0211.58.20200808.0210,CIGARETTE
JAK0211.58.20200809.0027,CIGARETTE
JAK0211.58.20200809.0104,CIGARETTE
JAK0211.58.20200809.0117,CIGARETTE
JAK0211.58.20200810.0146,CIGARETTE
JAK0211.58.20200810.0175,CIGARETTE
JAK0211.58.20200811.0044,CIGARETTE
JAK0211.58.20200813.0056,CIGARETTE
JAK0211.58.20200813.0200,CIGARETTE
JAK0211.58.20200814.0131,CIGARETTE
JAK0211.58.20200814.0243,CIGARETTE
JAK0211.58.20200815.0190,CIGARETTE
JAK0211.58.20200816.0047,CIGARETTE
JAK0211.58.20200816.0061,CIGARETTE
JAK0211.58.20200817.0102,CIGARETTE
JAK0211.58.20200818.0239,CIGARETTE
JAK0211.58.20200819.0037,CIGARETTE
JAK0211.58.20200819.0041,CIGARETTE
JAK0211.58.20200819.0067,CIGARETTE
JAK0211.58.20200821.0072,CIGARETTE
JAK0211.58.20200823.0076,CIGARETTE
JAK0211.58.20200824.0055,CIGARETTE
JAK0211.58.20200825.0068,CIGARETTE
JAK0211.58.20200825.0091,CIGARETTE
JAK0211.58.20200825.0150,CIGARETTE
JAK0211.58.20200825.0243,CIGARETTE
JAK0211.58.20200826.0093,CIGARETTE
JAK0211.58.20200827.0023,CIGARETTE
JAK0211.58.20200827.0224,CIGARETTE
JAK0211.58.20200828.0108,CIGARETTE
JAK0211.58.20200828.0225,CIGARETTE
JAK0211.58.20200828.0275,CIGARETTE
JAK0211.58.20200830.0118,CIGARETTE
JAK0211.58.20200830.0155,CIGARETTE
JAK0211.58.20200901.0158,CIGARETTE
JAK0211.58.20200902.0079,CIGARETTE
JAK0211.58.20200902.0093,CIGARETTE
JAK0211.58.20200902.0191,CIGARETTE
JAK0211.58.20200902.0192,CIGARETTE
JAK0211.58.20200902.0193,CIGARETTE
JAK0211.58.20200902.0194,CIGARETTE
JAK0211.58.20200902.0201,CIGARETTE
JAK0211.58.20200902.0202,CIGARETTE
JAK0211.58.20200902.0271,CIGARETTE
JAK0211.58.20200903.0001,CIGARETTE
JAK0211.58.20200903.0116,CIGARETTE
JAK0211.58.20200903.0177,CIGARETTE
JAK0211.58.20200904.0028,CIGARETTE
JAK0211.58.20200904.0163,CIGARETTE
JAK0211.58.20200904.0240,CIGARETTE
JAK0211.58.20200905.0003,CIGARETTE
JAK0211.58.20200905.0020,CIGARETTE
JAK0211.58.20200905.0088,CIGARETTE
JAK0211.58.20200905.0093,CIGARETTE
JAK0211.58.20200905.0106,CIGARETTE
JAK0211.58.20200905.0118,CIGARETTE
JAK0211.58.20200905.0119,CIGARETTE
JAK0211.58.20200905.0120,CIGARETTE
JAK0211.58.20200905.0121,CIGARETTE
JAK0211.58.20200910.0127,CIGARETTE
JAK0211.58.20200911.0115,CIGARETTE
JAK0211.58.20200912.0021,CIGARETTE
JAK0211.58.20200915.0065,CIGARETTE
JAK0211.58.20200915.0167,CIGARETTE
JAK0211.58.20200916.0038,CIGARETTE
JAK0211.58.20200916.0057,CIGARETTE
JAK0211.58.20200916.0120,CIGARETTE
JAK0211.58.20200916.0171,CIGARETTE
JAK0211.58.20200917.0051,CIGARETTE
JAK0211.58.20200917.0102,CIGARETTE
JAK0211.58.20200918.0006,CIGARETTE
JAK0211.58.20200918.0146,CIGARETTE
JAK0211.58.20200919.0004,CIGARETTE
JAK0211.58.20200919.0059,CIGARETTE
JAK0211.58.20200919.0133,CIGARETTE
JAK0211.58.20200919.0145,CIGARETTE
JAK0211.58.20200919.0146,CIGARETTE
JAK0211.58.20200919.0147,CIGARETTE
JAK0211.58.20200919.0149,CIGARETTE
JAK0211.58.20200920.0042,CIGARETTE
JAK0211.58.20200920.0078,CIGARETTE
JAK0211.58.20200920.0079,CIGARETTE
JAK0211.58.20200920.0081,CIGARETTE
JAK0211.58.20200920.0082,CIGARETTE
JAK0211.58.20200922.0048,CIGARETTE
JAK0211.58.20200922.0049,CIGARETTE
JAK0211.58.20200922.0080,CIGARETTE
JAK0211.58.20200922.0163,CIGARETTE
JAK0211.58.20200922.0171,CIGARETTE
JAK0211.58.20200922.0172,CIGARETTE
JAK0211.58.20200922.0174,CIGARETTE
JAK0211.58.20200922.0175,CIGARETTE
JAK0211.58.20200922.0178,CIGARETTE
JAK0211.58.20200922.0179,CIGARETTE
JAK0211.58.20200922.0180,CIGARETTE
JAK0211.58.20200922.0181,CIGARETTE
JAK0211.58.20200923.0073,CIGARETTE
JAK0211.58.20200923.0174,CIGARETTE
JAK0211.58.20200924.0048,CIGARETTE
JAK0211.58.20200924.0164,CIGARETTE
JAK0211.58.20200924.0179,CIGARETTE
JAK0211.58.20200925.0051,CIGARETTE
JAK0211.58.20200925.0176,CIGARETTE
JAK0211.58.20200926.0044,CIGARETTE
JAK0211.58.20200926.0051,CIGARETTE
JAK0211.58.20200926.0053,CIGARETTE
JAK0211.58.20200926.0062,CIGARETTE
JAK0211.58.20200926.0063,CIGARETTE
JAK0211.58.20200926.0064,CIGARETTE
JAK0211.58.20200926.0065,CIGARETTE
JAK0211.58.20200926.0067,CIGARETTE
JAK0211.58.20200926.0068,CIGARETTE
JAK0211.58.20200926.0071,CIGARETTE
JAK0211.58.20200926.0072,CIGARETTE
JAK0211.58.20200927.0064,CIGARETTE
JAK0211.58.20200928.0131,CIGARETTE
JAK0211.58.20200928.0171,CIGARETTE
JAK0211.58.20200928.0172,CIGARETTE
JAK0211.58.20200928.0175,CIGARETTE
JAK0211.58.20200928.0176,CIGARETTE
JAK0211.58.20200928.0193,CIGARETTE
JAK0211.58.20200928.0211,CIGARETTE
JAK0211.58.20200929.0025,CIGARETTE
JAK0211.58.20200929.0040,CIGARETTE
JAK0211.58.20200929.0181,CIGARETTE
JAK0211.58.20200929.0182,CIGARETTE
JAK0211.58.20200929.0183,CIGARETTE
JAK0211.58.20200929.0184,CIGARETTE
JAK0211.58.20200929.0196,CIGARETTE
JAK0211.58.20200930.0061,CIGARETTE
JAK0211.58.20200930.0066,CIGARETTE
JAK0211.58.20200930.0202,CIGARETTE
JAK0211.58.20200602.0146,CIGARETTE
JAK0211.58.20200605.0047,CIGARETTE
JAK0211.58.20200605.0185,CIGARETTE
JAK0211.58.20200606.0091,CIGARETTE
JAK0211.58.20200608.0020,CIGARETTE
JAK0211.58.20200608.0087,CIGARETTE
JAK0211.58.20200612.0209,CIGARETTE
JAK0211.58.20200619.0140,CIGARETTE
JAK0211.58.20200621.0024,CIGARETTE
JAK0211.58.20200624.0155,CIGARETTE
JAK0211.58.20200625.0197,CIGARETTE
JAK0211.58.20200625.0301,CIGARETTE
JAK0211.58.20200701.0219,CIGARETTE
JAK0211.58.20200702.0099,CIGARETTE
JAK0211.58.20200702.0111,CIGARETTE
JAK0211.58.20200702.0146,CIGARETTE
JAK0211.58.20200706.0079,CIGARETTE
JAK0211.58.20200706.0127,CIGARETTE
JAK0211.58.20200708.0124,CIGARETTE
JAK0211.58.20200708.0214,CIGARETTE
JAK0211.58.20200709.0071,CIGARETTE
JAK0211.58.20200710.0210,CIGARETTE
JAK0211.58.20200710.0253,CIGARETTE
JAK0211.58.20200713.0154,CIGARETTE
JAK0211.58.20200715.0234,CIGARETTE
JAK0211.58.20200717.0085,CIGARETTE
JAK0211.58.20200720.0109,CIGARETTE
JAK0211.58.20200721.0026,CIGARETTE
JAK0211.58.20200722.0017,CIGARETTE
JAK0211.58.20200722.0053,CIGARETTE
JAK0211.58.20200724.0055,CIGARETTE
JAK0211.58.20200803.0017,CIGARETTE
JAK0211.58.20200814.0078,CIGARETTE
JAK0211.58.20200824.0216,CIGARETTE
JAK0211.58.20200826.0110,CIGARETTE
JAK0211.58.20200826.0207,CIGARETTE
JAK0211.58.20200828.0114,CIGARETTE
JAK0211.58.20200903.0089,CIGARETTE
JAK0211.58.20200906.0091,CIGARETTE
JAK0211.58.20200907.0037,CIGARETTE
JAK0211.58.20200907.0189,CIGARETTE
JAK0211.58.20200910.0033,CIGARETTE
JAK0211.58.20200910.0095,CIGARETTE
JAK0211.58.20200911.0091,CIGARETTE
JAK0211.58.20200911.0313,CIGARETTE
JAK0211.58.20200913.0025,CIGARETTE
JAK0211.58.20200917.0139,CIGARETTE
JAK0211.58.20200921.0037,CIGARETTE
JAK0211.58.20200921.0175,CIGARETTE
JAK0211.58.20200923.0107,CIGARETTE
JAK0211.58.20200925.0160,CIGARETTE
JAK0211.58.20200926.0047,CIGARETTE
JAK0211.58.20200927.0001,CIGARETTE
JAK0211.58.20200928.0137,CIGARETTE
JAK0211.58.20200601.0011,CIGARETTE
JAK0211.58.20200602.0042,CIGARETTE
JAK0211.58.20200602.0193,CIGARETTE
JAK0211.58.20200602.0391,CIGARETTE
JAK0211.58.20200603.0358,CIGARETTE
JAK0211.58.20200604.0214,CIGARETTE
JAK0211.58.20200604.0226,CIGARETTE
JAK0211.58.20200605.0105,CIGARETTE
JAK0211.58.20200605.0204,CIGARETTE
JAK0211.58.20200606.0055,CIGARETTE
JAK0211.58.20200606.0181,CIGARETTE
JAK0211.58.20200608.0070,CIGARETTE
JAK0211.58.20200608.0102,CIGARETTE
JAK0211.58.20200609.0174,CIGARETTE
JAK0211.58.20200610.0224,CIGARETTE
JAK0211.58.20200610.0232,CIGARETTE
JAK0211.58.20200610.0253,CIGARETTE
JAK0211.58.20200610.0260,CIGARETTE
JAK0211.58.20200612.0056,CIGARETTE
JAK0211.58.20200613.0114,CIGARETTE
JAK0211.58.20200614.0031,CIGARETTE
JAK0211.58.20200615.0286,CIGARETTE
JAK0211.58.20200616.0164,CIGARETTE
JAK0211.58.20200618.0054,CIGARETTE
JAK0211.58.20200620.0004,CIGARETTE
JAK0211.58.20200621.0046,CIGARETTE
JAK0211.58.20200622.0197,CIGARETTE
JAK0211.58.20200622.0200,CIGARETTE
JAK0211.58.20200622.0201,CIGARETTE
JAK0211.58.20200622.0202,CIGARETTE
JAK0211.58.20200622.0203,CIGARETTE
JAK0211.58.20200622.0204,CIGARETTE
JAK0211.58.20200622.0205,CIGARETTE
JAK0211.58.20200622.0207,CIGARETTE
JAK0211.58.20200622.0208,CIGARETTE
JAK0211.58.20200622.0209,CIGARETTE
JAK0211.58.20200624.0029,CIGARETTE
JAK0211.58.20200715.0203,CIGARETTE
JAK0211.58.20200716.0069,CIGARETTE
JAK0211.58.20200717.0184,CIGARETTE
JAK0211.58.20200718.0097,CIGARETTE
JAK0211.58.20200718.0150,CIGARETTE
JAK0211.58.20200720.0172,CIGARETTE
JAK0211.58.20200720.0179,CIGARETTE
JAK0211.58.20200721.0188,CIGARETTE
JAK0211.58.20200722.0094,CIGARETTE
JAK0211.58.20200723.0205,CIGARETTE
JAK0211.58.20200726.0040,CIGARETTE
JAK0211.58.20200726.0080,CIGARETTE
JAK0211.58.20200726.0099,CIGARETTE
JAK0211.58.20200727.0051,CIGARETTE
JAK0211.58.20200729.0178,CIGARETTE
JAK0211.58.20200730.0232,CIGARETTE
JAK0211.58.20200730.0237,CIGARETTE
JAK0211.58.20200804.0045,CIGARETTE
JAK0211.58.20200805.0237,CIGARETTE
JAK0211.58.20200805.0239,CIGARETTE
JAK0211.58.20200805.0243,CIGARETTE
JAK0211.58.20200806.0067,CIGARETTE
JAK0211.58.20200806.0108,CIGARETTE
JAK0211.58.20200807.0228,CIGARETTE
JAK0211.58.20200807.0294,CIGARETTE
JAK0211.58.20200808.0074,CIGARETTE
JAK0211.58.20200809.0161,CIGARETTE
JAK0211.58.20200810.0253,CIGARETTE
JAK0211.58.20200811.0006,CIGARETTE
JAK0211.58.20200813.0018,CIGARETTE
JAK0211.58.20200814.0055,CIGARETTE
JAK0211.58.20200815.0123,CIGARETTE
JAK0211.58.20200818.0043,CIGARETTE
JAK0211.58.20200818.0186,CIGARETTE
JAK0211.58.20200821.0173,CIGARETTE
JAK0211.58.20200824.0151,CIGARETTE
JAK0211.58.20200825.0245,CIGARETTE
JAK0211.58.20200827.0097,CIGARETTE
JAK0211.58.20200827.0180,CIGARETTE
JAK0211.58.20200827.0214,CIGARETTE
JAK0211.58.20200828.0097,CIGARETTE
JAK0211.58.20200829.0045,CIGARETTE
JAK0211.58.20200829.0087,CIGARETTE
JAK0211.58.20200829.0170,CIGARETTE
JAK0211.58.20200829.0205,CIGARETTE
