Periodo,Producto,Cantidad,Precio,Ingresos
01/05/2017,bed1,1,45.95,45.95
01/06/2017,bed1,3,45.95,137.85
01/07/2017,bed1,6,45.95,275.7
01/08/2017,bed1,4,45.95,183.8
01/09/2017,bed1,2,45.95,91.9
01/10/2017,bed1,3,45.95,137.85
01/11/2017,bed1,11,40.53181818,445.85
01/12/2017,bed1,6,39.99,239.94
01/01/2018,bed1,19,39.99,759.81
01/02/2018,bed1,18,39.99,719.82
01/03/2018,bed1,17,39.99,679.83
01/04/2018,bed1,13,39.99,519.87
01/05/2018,bed1,19,39.99,759.81
01/06/2018,bed1,5,39.99,199.95
01/07/2018,bed1,8,39.99,319.92
01/08/2018,bed1,8,39.24,313.92
01/07/2017,consoles1,13,19.9,258.7
01/08/2017,consoles1,24,19.9,477.6
01/09/2017,consoles1,9,19.9,179.1
01/10/2017,consoles1,28,21.54285714,603.2
01/11/2017,consoles1,28,24.5,686
01/12/2017,consoles1,16,24.5,392
01/02/2018,consoles1,5,32.5,162.5
01/03/2018,consoles1,6,32.5,195
01/04/2018,consoles1,7,35.05714286,245.4
01/05/2018,consoles1,3,36.2,108.6
01/06/2018,consoles1,2,36.2,72.4
01/07/2018,consoles1,1,36.2,36.2
01/04/2017,garden7,1,59.9,59.9
01/05/2017,garden7,1,59.9,59.9
01/07/2017,garden7,4,59.9,239.6
01/08/2017,garden7,6,59.9,359.4
01/09/2017,garden7,5,59.9,299.5
01/10/2017,garden7,11,59.9,658.9
01/11/2017,garden7,20,51.32222222,1043.6
01/12/2017,garden7,10,56.97777778,571.8
01/01/2018,garden7,11,49.9,548.9
01/02/2018,garden7,8,51.4,411.2
01/03/2018,garden7,3,53.9,161.7
01/04/2018,garden7,8,53.9,431.2
01/05/2018,garden7,9,52.9,477.1
01/06/2018,garden7,5,49.9,249.5
01/07/2018,garden7,6,49.9,299.4
01/08/2018,garden7,7,49.9,349.3
01/02/2017,health9,11,19.99,219.89
01/03/2017,health9,9,19.99,179.91
01/04/2017,health9,13,19.99,259.87
01/05/2017,health9,16,19.99,319.84
01/06/2017,health9,21,19.99,419.79
01/07/2017,health9,29,19.99,579.71
01/08/2017,health9,28,23.39740741,651.72
01/09/2017,health9,24,23.99,575.76
01/10/2017,health9,27,23.99,647.73
01/11/2017,health9,28,23.99,671.72
01/12/2017,health9,19,23.99,455.81
01/01/2018,health9,19,23.99,455.81
01/02/2018,health9,14,23.99,335.86
01/03/2018,health9,8,23.99,191.92
01/05/2018,health9,7,23.99,167.93
01/06/2018,health9,3,23.99,71.97
01/07/2018,health9,3,23.99,71.97
01/08/2018,health9,2,23.99,47.98
01/10/2017,computers5,1,167,167
01/12/2017,computers5,2,119.9,239.8
01/01/2018,computers5,57,93.09489362,5453.96
01/02/2018,computers5,45,77.155,3465.8
01/03/2018,computers5,6,88,528
01/04/2018,computers5,10,88,880
01/06/2018,computers5,3,89.9,269.7
01/07/2018,computers5,3,78.9,236.7
01/05/2017,garden10,3,59.9,179.7
01/06/2017,garden10,3,59.9,179.7
01/07/2017,garden10,19,59.9,1138.1
01/08/2017,garden10,27,59.9,1617.3
01/09/2017,garden10,17,59.9,1018.3
01/10/2017,garden10,31,59.9,1856.9
01/11/2017,garden10,87,53.64828125,4712.19
01/12/2017,garden10,32,55.425,1769.7
01/01/2018,garden10,29,49.9,1447.1
01/02/2018,garden10,36,50.9,1828.4
01/03/2018,garden10,35,53.9,1886.5
01/04/2018,garden10,13,53.9,700.7
